suaal,,caafimaadkaaga kawaran saaxiib?
jawaab,,"Waa fiicanahay saaxiib, Adiga caafimaadkaaga ka sheekee?"
suaal,,"alhamdullilaah aad baan u caafimaad qabaa, waxaan rabaa inaan wax kaa waydiiyo caafimaadka."
jawaab,,"Caafimaadku waa shay muhiim ah ayna tahay inaan ka taxadarno xaga cuntada, jimicsiga iyo waliba hurdada."
suaal,,sidee muhiim ugu tahay caafimaadka inaan ka taxadarno cuntada?
jawaab,,"waxay muhiim ugu tahay inaan iska ilaalino cuntada saliida ku badantahay, macmacaanka iyo wixii la mid ah."
suaal,,sidee muhiim ugu tahay caafimaadka inaan ka taxadarno jimicsiga ?
jawaab,,jimicsigu wuxu naga caawiyaa inuu jirkeena helo firfircoooni wuxuu kaloo naga caawiyaa uuna ka hortagaa cudurada qaar sida sokorta.
suaal,,sidee muhiim ugu tahay caafimaadka inaan ka taxadarno Hurdada ?
jawaab,,"Hurdo la'aantu waxay sababtaa cuduro fara badan iyo dhiig la aan,sidaa darteed hurdada xiliga fiican waa u muhiim caafimaadkeena."
suaal,,"Walaal waxaan u baahnaa xaalad caafimaad oo deg deg ah ,Maxaan sameeyaa?"
jawaab,,walaal waxaad la xariiri kartaa goobaha caafimaadka ee kuugu dhaw .
suaal,,Waan ku salaamay Bukaan?
jawaab,,waan kaa qaaday  Dhakhtar.
suaal,,"Maxaan kaa caawiyaa walaal ,xagee lagaa haayaa ? sideena laguu haayaa?"
jawaab,,"Dhaqtar waxaan dareemaayaa xanuun xaga caloosha ah, maxaan sameeyaa?"
suaal,,"Hagaag, calool xanuunka waxaa  keeno  Cunto xumo, gaaska oo kugu kaco iyo cuntooyinka kala duwan ee aysan caloosha garanaynin waxaana ku gula talinayaa inaad iska ilaaliso waxyaabaha caloosha kiciya ."
jawaab,,Mahadsanid  dhaqtar.
suaal,,"Abaayo see tahay, caafimaadkaaga?"
jawaab,,Waan yara fiicanahay abaayo 
suaal,,maalmahaan xagee jirtay abaayo waa lagu waayee?
jawaab,,waan yara xanuunsanaa abaayo
suaal,,xagee lagaa haayay abaayo?
jawaab,,abaayo baryahaan madaxa la iga haayey!
suaal,,laakin maxaa sababay abaayo ?
jawaab,,abaayo  ma garanaayo  baryahaan waxaan ku mashquulsanaaa jaamacada hawlaheeda.
suaal,Maxaa sababa ayaad is leedahay Madax xanuunka,Maxa sababa ayaad is leedahay inuu sababo abaayo
