Su'aaal,Jawaab
Saaxiib maanta Ciyaarta kubada cagta ma aadan joogin ee xagee jirtay ?,saaxiib maanta waan caajisnaay sidaas ayanan u imaanin ciyaarta
miyaad xanuunsanayd  saaxiib ?,"haa saaxiib , waxaa igu dhacay hargab"
dhaqtar miyaad aaday walal ?,maya laakiin waxaan isticmaalay Tuun iyo sanjabiil 
kawaran ciyaaraha shiishka miyaa isku fiican tihiin ?,maya laakiin waxaan isku fiicanahay ciyaaraha dabaasha
kawaran ciyaara dhaqameedka soomaalida miyaa isku fiican tihiin ?,"haa saaxiib , waliba waxaan jeclahay ciyaarta loo yaqaano wilisaqo ee badanaa laga ciyaaro gobolada dhexe ee soomaaliya sidoo kale waxaan xiiseeyaa  shiribka, dhaantada"
waligaa miyaad ciyaartay Wilisaqo ?,"haa, waxaana badanaa ciyaara dhalinyarada wiilal iyo gabdho waxaana u badan gobolada Hiiraan iyo Gobolada dhexe"
waligaa ma samaysay jimicsi ?,haaa waayo jimicsigu waxa uu muhiim u yahay caafimaadkeena sababtoo ah  jirfayow ayaa caqli fiyow leh
maxa kamida jimiciyada aad samaysay ?,waxa kamida buush aab
saxiib waliga ma ciyaartey kubada koleyga?,wan arkey laakin ma anan ciyaarin ?
adiga mad ciyaartey kubada koleyga?,haa waan ciyaaray  waana kubad xamaasad badan leh
qaab side ah ayaa loo dhelaa kubada koleyga ,waa ciyaa ku yihin dadka ku nool waqooyiga ameerika waxana lagu ciyaara gacanta
adiga inte ka bartey kubada koleyga?,waxa ku arkey tvga ciyaarha 
maxa kale ciyaare ah ku xiiso galiya ?,ciyaarta somalida daqanka sida dhaanto
waxa maxey dhaanto ?,wa ciyaar dhaqameed somalidu caan ku yihin wana ciyaar jimicsi wanagsan leh 
ma xiseneesaa ina argto ciyaarta dhantada?,haa jirka ayaa jimicsi u bahan 
ma i sheegi kartaa waxa ay ku kala duwan yihin ciyaarta kubada cagta iyo kubada koleyga,haa kubada cagta waxa lagu ciyaara lugta kubadka koleygna waxa lagu ciyaara gacanta lakiin labduba waa jimicsi wanagsan 
adigu kubadee ayaa xiiseesaa ?,kubada koleyga ayan xiseeya 
ma mid tahy koox ciyaarta kubada koleyga ?,haa 
halke lagu ciyaara somali?,waxa lagu ciyaara gayiga somali oo dhan 
adinku kooxdiina halkee ku ciyaartan ?,waxa ku ciyaarna mogadishu garoonka 
ma jirta dugsi lagu barto ciyaarha  ?,haa 
adiga wax horumar ah maka ka sameysey kubada koleyga?,haa mjdo badan ku dhex jirey kubada koleyga
ma sameysaa jimicsi kale aheyn ciyaaraha ?,haa waxa aad jimicsiga jir dhiska
waa side jimicsiga jir dhiska ?,waa jimicsi wanagsan oo saraya bilicda jirkaga 
ma xiisenesa jimicsiga jir dhiska?,haa wayo wa jimicsi wanagsan 
usbuuci imisa malin igu haboon in aan imaado jimcsiga jir dhiska ?,afar maalin ayaa ku filan jirkaga jimicsiga dhiska usbuucii
makaga kaaftoomi karaa jimicsiga jir dhiska in aan aado kubad?,haa waa kaga kaaftoomi kartaa wayo jimicsiga jir dhisku wa jimicsi wanagsan 
xilige ugu wanagsan jimicsiga jir dhiska ?,aroortii ayaa ugu wanagsan jimicsiga jir dhiska
ma jirta wax ciqabad kaga timaado jimicsiga jirdhiska ? ,haa hadi adan sida wanagsan ugu sameyn waxa kaga imadan karto dhibaato
carruurta ma tagi karan jimicsiga jir dhiska?,maya carrrurta ka yar da'dooda ka yartahy 16 ma adi karan
waa maxay ciyaar dhaqameedka sooomaaliyeed hal keese laga ciyaaraaa ?,"ciyaar dhaqameedka sooomaaliyeed waxaa kamida Beereey waxaana laga ciyaaraa Koonfur Kalbeed gaar ahaan baydhabo,Wilisaqo  waxaaana laga ciyaaraa Hiiraan iyo Galgaduud ee soomaaliya, Saylici  waxaana laga ciyaaraa Waqooyi Glabeed  ee soomaaliya, Kabeebeey  waxana laga ciyaaraa gobollada kala ah   Shabeelada Hoose,  Shabeelada hoose , Banaadir  iyo Bakool , Jaandheer  waxaana laga ciyaaraa Soomaaliland, Shirib    waxaana laga ciyaaraa Mudug,Banadir,Galgaduud, Hiiraan iyo Shabeelada dhexe, Baraanbur waxaana ciyaara soomalida oo dhan , Dhaantada waxaa laga ciyaaraa  Soomaalilan, Galinka Shanaad iyo Gobolada Dhexe ,waalada waxaana laga ciyaaraa Hiiraan iyo Galgaduud "
ciyaar dhaqameedka aad ugu jeceshahay waa teee ?,ciyaar dhaqameedka soomaaliyeed dhamaan way xiiso badanyihiin laakiin waxaan jeclahay ciyaarta wilisaqqad iyo dhaantada 
miyay ku haasaawaan dhalinyarada ciyaar dhaqameedka ?,"haa , waxaaba jira xili la dhaho dabshidka tasoo dhalinyarada guurdoonka ah isku balansadaan "
orodka aroortii miyuu kamid yahay jimicsiga ?,haaa waxaa fiican qofkii awooda inuu ordo ilaa 15 daqiiqo
markii aad shaqo badan qabato si fiicana aad u didido miyaa la dhihi karaa waa jimicsi ?,haa  waayo waxaad bixinaysaa tamar badan laakiin hadii aad bixiso tamar xad dhaaf ah waxaa laga yaaba iney dhib kuu keento
Jimicsiga dad nuucee ah ayaad kula talin lahayd ineey sameeyaan malinle? ,"waxan kula talin lahaa dadka buurbuuran , dadka qaba xanuunada macaanka , dhiigarka , wadna xanuunka io qofkii jecel inuu caaafimadkiisa ka fakaro"
sidee ayuuu ugu fiican tahay dadka qaba xanuunka macaanka ?,dadka qaba xanuunka macaanka ah waxaa u fiican ineey jimicsi malinle ah sameeyaan si ay ula falgasho sonkorta ku jirta dhiiga 
maxaa samayn lahayd hadii aad buuraan lahayd adana awoodin inaad samayso jimicsiga orodka ?,waxaan samay lahaa inan booqdo meelaha jirdhiska sidoo kale aan saxo cuntadayda
miyay macquul tahay inuu qof da' ah uu sameeyo jimicsi ?,waa macquul waayo caafimaadkiisa ayaa ku jira
maxay tahay cunnooyinka loo isticmaalo jimicsiga ?,"waxaa kamida qamadiga, salbuukada , dhigirta nuucyadeeda kala duwan "
maxaa la iska ilaali karaa si jimicsigaagu ku hagago,waxaa iska ilaali kartaa wax walba oo maandooriye ah iyo cunooyinka dufanta leh iyo macmacaanka
waa maxay sababta dadka caatada ah meelaha jirdhiska u aaadaan ?,sababtoo ah waxay u aadan ineey culayskooda kordhiyaan 
waa maxay sababta dadka buuran u aadaan meelaha jirdhiska  ?,sabab too ah waxay doonayaan ineey dhimaan misaanka jirkooda
waa maxay sababta dadka dhaawaacyada ay ugu baahanyihiin fiisotarabiyada ?,sababtoo ah dhawacyadu waxay u baahanyihiin ineey helaaan jimicsi lagu soocelinayo xubnahooda sidii hore u shaqaynayeen
kawaran maxaa ka taqaanaa ciyaaraha adduunka laga ciyaaro ?,"waxaan ka aqaanaa ciyaaro badan kuwaa soo aan ka xusi karo  kubada koleyga , kubada teniska , kubada cagta , dabaasha, shiishka, jeeska iyo kuwa badan oo kale"
kubada cagta kooxdee taageertaa ?,waxaan taageeraa naadiga chelsea tasoo ka ciyaarta premier league
Goormaa bilowday  taageerida naadiga chelsea ?,Waxaan bilaaba taageerida Chelsea 2009kii
Ciyaartee kuugu fiicnayd intii aad dawanaysay ciyaaraha chelsea ?,Waxaay ahayd 2012 finalkii Champions leagu ay la dheelaysey naadiga Bayern Munich 
Ciyaarta sidee ayay kusoo dhamaatay ?,Waxay kusoo dhamaatay gool ku laad
miyaad ila wadaagi  kartaa ciyaartiii kugu xumayd  aad daawato ?,Waxay ahayd 2009 ciyaar dhexmartay Chelsea iyo Barcelona ee champions leagu.
Miyaad ciyaartaa adigu kubada cagta ?,Haa waaan ciyaaraa laakiin hada uma badni 
Miyaa isku fiican tihiin  kubada kolayga?,Iskuma fiicnin.
Soomaaalidu miyay ciyaaraan ciyaarta dabaasha ?,Haa waa ay ciyaaran ciyarta dabasha.
Sidee ayaan u baran karaa dabaasha iyo shiishka ?,saat ubarato waxaa ubahantahay bare kugu tawabara meel ay biyom kuhiraan mise bad ama wabi.
Qaabkee ayaan uga faa'iidaysan karaa Kubada cagta Jimicsi ahaan ?,waxaat ugu faidaysan kartaa si jimcsi ahaan iyo xirfat aat ugu shaqaysato.
Dadka ciyaara Feerka miyay mudan tahay ineey malinle usameeyaan jimicsi ?,Haa sawabtoo waxay ubahan yihiin inay joogteyan xirfadooda ku aadan ciyarta feerarka.
