S,cuntooyinka soomaalida maxaad ka taqaanaa?,,,,
J,"cuntooyinka soomaalida waxaan ka aqanaa soorta,muufada,bariiska,baastada,canbuulada iyo canjeerada",,,,
S,cuntooyinka soomaalida cuntadee ayaad ugu jeceshahay?,,,,
J,cuntooyinka soomaalida waxaan ugu jeclahay soorta iyo muufada,,,,
S,adiguna cuntadee ayaad ugu jeceshahay cuntooyinka soomaalida?,,,,
J,cuntooyinka soomaalida waxaan ugu jeclahay canjeerada iyo bariiska,,,,
s,Ma jeceshay bariiska iyo hilibka?,,,,
j,aad iyo aad sidoo kale waxaan jeclahay laxooxda iyo cambuulada?,,,,
s,Qaabkee loo kariyaa shaaxa?,,,,
j,"shaaxa waxaa loo kariyaa qaabkan: 1. jalmad soo qaado kadib ku shub biyo 2. kadib ku dar sokor 3. sido kale hadii aad jeceshahy ku darso heel iyo dhago yare, 4. markay biyaha kuu karkaraan ku dar caleenta",,,,
S,"hagaag, shaaxa imisa ayaa loo qaybiyaa marka?",,,,
J,waxaa loo qaybiyaa shaax bigees  iyo cadees ah.,,,,
s,caanaha geela ma cabtaaa ?,,,,
j,"maya, waxaan aad u cabaa caanaha lo'da , marmarna waxaan cabaa caanaha ariga",,,,
s,"hagaag, wax maka taqaanaa cuntooyinkii hore ee reer miyigeena?",,,,
j,"waxaan ka aqaanaa digirta,galayda,masagada, iyo caanaha oo lagu iidaami jiray gasiinka.",,,,
s,Cunto dhaqameedka somalida wax iga sheeg?,,,,
j,"Cunto dhaqameedka somalida waxaa kamid ah , cad iyo caano, soor , cambuulo, digir iyo noocya kale oo farabadan",,,,
S,maxaad ka taqaanaa maahmaahyada cuntooyinka?,,,,
J,"waxaan maqli jiray ""Nin waliba wixii uu cunuu ciidamiyaa.",,,,
s,"cajiib, ma cuntaa hadhuudhka?",,,,
j,waligay ma maqal laakiin harakoowga ayaan marmar cunaaa.,,,,
s,subixii ma cuntaa beerka?,,,,
j,"haa, marmarna waxaan cunaa canjeelo iyo kalaankal",,,,
s,ma isku cuntay timir iyo basbaas waligaa?,,,,
j,"Maya, waligay iskuma cunin waxaas laakiin ukun ayaan hal mar ku cunay basbaas",,,,
s,sidee isku tihiin oodkaca ama muqmada ? ma cuntaa aroortii?,,,,
j,"haa , waliba aad ayaan u jeclahay anigu.",,,,
s,maxaad jeceshahay in laguugu casuumo? mase jiraan cuntooyin aad necebtahay?,,,,
j,"waxaan aad u jeclahay in la igu casuumo sanbuus, muufo macsaro leh , bur xabaalka, pizzaha iyo hilib iyo bariis , sidoo kale waxaan necbahay baastada iyo suugada , inkastoo inaan macsaro iyo sokor ku cuno aan jeclahay waxaan kale oo aad u necbahay canjeelada , aad ayay iiga soo horbooday.",,,,
s,qudaarta midee ayaad ugu jeceshahay?,,,,
j,"waxaan aad u jeclahay bagalka, koostada, ansalaatada iyo qaraha",,,,
s,ma jiraan kuwo aad necebtahay?,,,,
j,"haa waxaan aad u necbahay qajaarka, mooska ,liinta iyo reexaanta?",,,,
s,"canuuniga, cananaaska, tufaaxa, liin bambeelada iyo barbarooniga kuwaas ma jeclid miyaa?",,,,
j,maya waan hilmaamay laakiin aad uma jecli barbarooniga.,,,,
s,"ka waran malaayga , doorada iyo noocyada hilibka kuwaas ma jiraan kuwaa jeceshahay?",,,,
j,"waxaan  jeclahay malaayga , iyo hilibka sagaarada ?",,,,
s,"ma cuntay waligaa hilib bakayle ? hilbka shiilan , kan solan iyo midka duban midkee aad u cuntaa?",,,,
j,"waligay ma cunin hilib bakayle , mana kala aqaano noocyadaas hilibka , kaliya ""wixii aanan i cununba waan cunaa""",,,,
S,"horta ma garanaysaa maahmaahda reer xamarka ee tiraa""Canjeelo say u kala koraysaa loo kala qaataa""",,,,
j,"haa waan maqlay sidoo kale waxaan maqlay "" Nin gaajaysan gasiin ma garto""",,,,
s,horta dhirta lacuno waa kuwee?,,,,
j,"way badan yihiin waxaana kamida yogorta,hoobaanta,murcudka, jiridaha geedaha ,caleemaha, xabxabka ,hohobta, iyo kuwa kale oo fara badan",,,,
s,"sidee wax loo cunaa, soomaalidu ma leedahay dhaqan cunteed ugaar ah?",,,,
j,"haa , waxaan wax u cunnaa qaab kooxeed , qoyseed ama qaab bulsho ah , sidoo kale waxaa qasab ah inuu qof walba faraha iska soo dhaqo ka hor cunida , sidoo kale inuu qof walba bisinka u qabto iyo in midigta wax lagu cuno.",,,,
s,maxay soomaalida cabtaan ahaan u isticmaalaan?,,,,
j,"waxay badanaa shiitaan cambaha, sisinta iyo qaraha.",,,,
j,"waxay sidoo kale shiitaan mooska , waxay qastaan caanaha , waxay aad u cabaam caanaha xoolaha",,,,
S,isheeg qaar kamid ah cuntooyiinka somalida kuwa ugu cafimaad badan?,,,,
J,"waxaa ugu cafimaad badan cambuulada, soorta iyo kuwo badan",,,,
S,Sheeg cuntada ugu badan ee somalidu isticmaasho waqtiga qadada?,,,,
J,waxa ay isticmashaa bariis iyo baasto,,,,
S,Sidee loo kariyaa baasto?,,,,
J,"waxaa loo kariyaa bastada marka hore soo qaado disi kadib ku shub biyo iyo xogaha cusbo ah, kadib ku dar basatada ",,,,ada
S,Qaabkee loo miiraa liinta?,,,,
j,waxaa loo miiraa soo jaro liinta kadib sooqaado inyar oo biyo ah kadib ku miir hadii aad ubahantahay waad iska miiri kartaa miraha hadii kale waad iskaga deyn karta kadib kudar waxyar sokor ah,,,,
S,Maxay ka sameesantahay furlatada ama cabitaanka loo yaqaano furlaatada?,,,,
J,"Furladata wexee ka sameesantahay moos , caano, babaay, batiiq, buskut",,,,
S,Sidee loo qasaa caanaha?,,,,
J,Soo qaado biyo ku dar caanaha inta qaado aad rabto kadib kadib ku dar sokor kadib walaaq ,,,,
S,Bardhada meeqo daqiiqo ee ku kartaa markii biyaha lagu karinyaayo ?,,,,
J,Baradhada wexee ku Kartaa 15 daqiiqo ilaa 20 daqiiqo,,,,
S,Cabida biyaha somalida maku fiicantahay?,,,,
J,maya kuma fiicno,,,,
S,Inta badan soomaalida mexee ku quracataa?,,,,
J,Waxay ku quraacataa canjeelo iyo shaah,,,,
S,inta badan soomaalida reer magaalka ah  maxay cunaan?,,,,
J,"waxay cunaan canjeelo,shaah,caana boore iyo saliid cadeey.",,,,
s,inta badan soomaalida reer Baadiyaha ah  maxay cunaan?,,,,
j,"reer miyigana waxay cunaan badanaa galayda,digirta, iyo qudaarta dhirta ee dabiiciga ah. ",,,,
