Suaal,Sanadkaan dalxiis ma aadday?
jawaab,Sanadkaan dalxiis ma aadin.
Suaal,Maxaa Dalxiis u aadi wayday sanadkaan?
jawaab,Dalxiis waxaan u aadi waayay qarash la'aan darteed.
Suaal,goormaa kuugu danbaysay inaa dalxiis aaddo?
jawaab,Mudo dalxiis ma aadin.
Suaal,Halkee dalxiis u aadday sanadkii hore?
jawaab,Waxaan dalxiis u aaday kenya.
Suaal,Kenya maxaa kusoo aragtay?
jawaab,"Kenya waxaan kusoo arkay Libaax, shabeel, iyo maroodi."
Suaal,Kenya booqashadeeda ma ka heshay?
jawaab,Haa waan ka helay waa meel ku fiican in loo dalxiiso.
Suaal,Qaali miyaa in dalxiis loo aado kenya?
jawaab,"Maya qaali ma ahan, lacag macquul ah ayaa iiga baxday."
Suaal,Xagee jaceshahay inaa dalxiis u aaddo?
jawaab,Waxaan jecelahay inaan dalxiis u aado Yurub.
Suaal,Yaad jeclaan lahayd inaad la  dalxiisto?
jawaab,Waxan jeclahay inaan la dalxiiso walaaladay .
Suaal,Sanadkan makuu qorshaysan yahay inaad dalxiisto
jawaab,Haa waa ii qorshaysanyahay haduu Alle idmo .
Suaal,Imisa mar ayaa dalxiis aadday weligaa?
jawaab,"Waxaan dalxiis aaday sadax mar oo aan kala aaday Kenya, Itoobiya iyo Masar."
Suaal,Maxaad xiisaysa  marka dalxiisayso inaad raacdo ?
jawaab,Waxan xiiseeya inaan raaaco Tareenka.
Suaal,Intaa dalxiiska ku sugantahay ma jeceshahay inaad muqaalo duubato  ?
jawaab,"Haa waa jeclahay , inaa ka duubto muuqalo qurux badan oo xasuusa."
Suaal,Marka aad firaaqa tahay maxaa samaysaa?
jawaab,Waxaan Ciyaaraa kubadda cagta.
Suaal,Ma jeceshahay inaad waqti ku qaadato goobaha dooga ah?
Jawaab,Haa waan jeclahay si saa'id ah waliba.
Suaal,Ma tahay qof dalxiisa oo dalmar ah?
Jawaab,Haa waan ahay qof dalmar ah waxaan booqday inka badan 15 dal.
Suaal,Waa maxay sababta aad sida daran ogu jeceshahay goobaha dooga ah?
Jawaab,Sababto ah waa goobaha aan nafteyda waqti kula qaato.
Suaal,Intaa dalxiiska ku gudo jirto cabitaankaaga ugu badan kee waaye?
Jawaab,Cabitankayga ogu badan waxa waaye qaxwaha.
Suaal,Ma xiisaysa inaad booqato madxafyada intaad ku gudo jirto dalxiiska?
Jawaab,"Haa, aad baan u xiiiseeya inaan booqdo madxafyada."
Suaal,Maxay tahay Sababtaad aad ugu xiiseyso inaad booqato madxafyada?
Jawaab,Sababtoo ah waa meesha aan kasoo dhugto Taariikhaha.
Suaal,Ma jeceshahay  inaad kaga qayb qaadato mihnadahaaga intaad ku sugantahay goobta dalxiiska ?
Jawaab,"Haa ,waan jeclahay inaan kaga qayb qaato xirfado ."
Suaal,Ma ka mid tahay dadka jecel in ay wax dhagaystaan xilliga ay safarka ku jiraan ?
Jawaab,"Haa, waan ka mid ahay inay wax dhagaystaan xilliga safarka lagu jiro."
Suaal,Waa maxay waxa aad jeceshahay inaad dhagaysato mudadaa aad wadada ku sugantahay?
Jawaab,Waxaa  jeclahay inaa dhagaysto tafsiirka quraanka.
Suaal,Ma jeceshahay inta aad safarka ku gudo  jirtid in aad meelaha qaar ku nasataan?
Jawaab,Haa waan jeclahay aad.
Suaal,Intaad safarada ku sugnayd wali ma raacday markab?
Jawaab,"May, maraacin wali."
Suaal,Maxay tahay sababta aad uraaci wayday ?
Jawaab,Sababto ah ani ma jecli safarka badda.
Suaal,Maxaad waqti ku dhumisaa marka aad tahay firaaqo?
Jawaab,Waxaan ciyaaraa Turub iyo Laandhuu.
Suaal,Ma taqaanaa qof ka shaqeeya dalxiiska?
Jawaab,Maya ma aqaan qof ka shaqeeya dalxiiska lkn waxaan aqaanaa qof aad u dalxiis badan.
Suaal,"Wadanka kenya marka aad dalxiisa u aaday, lacag ahaan maxaa isticmaashay ma dollar mise shilinka kenya"
Jawaab,Waxaan lacag ahaan u isticmaalay shilinka kenya iyo dollar meelaha qaar.
Suaal,"Abaayo,marka aad dalxiisayso tigidkaaga adi miyaa jarta mise wa laguu jaraa?"
Jawaab,"Maya, aniga ayaa jarta."
Suaal,"Saxiib,dalxiiska intaa ku gudo jirto  cuntoyinka kugu cusub miyaa dalbataa mise kuwa aad taqaanay ba dalbataa?"
Jawaab,"Anigu,kuwa igu cusub ayaan dalbadaa."
Suaal,"Saxiib,sababta aad u dalbato cuntada aanad aqoon maxay tahay ?"
Jawaab,Maxa yeelay ani waxaa jeclahay markasta waxa igu  cusub inaa tijaabiyo sababtaas ayaan u dalbadaa.
Suaal,"Haye, saxiib adigana ma sideyda ayaad waxa cusub u xiiseysaa?"
Jawaab,"Maya ,ani waan kaaga duwanahay midaas oo waxan cunaa wixii aan hore u aqaanay bes."
Suaal,Maxay tahay sababta kugu kaliftay midaas?
Jawaab,Waxa igu kalifay midaas waxa waaye calool dhaqaaq aan leeyahay waxaana aqoon hadaan cuno miyaa ku xanuusanayaa
Suaal,Aabe ma ii siin kartaa lacag aan ku dalxiiso?
Jawaab,Haye aabe hoo qaado.
Suaal,Imisa ayaan ku siiyaa oo kugu filan?
Jawaab,Waxaa igu filan 400 oo doollar ah.
Suaal,Halkee kuu qorshaysan inaa dalxiis u aaddo?
Jawaab,Waxaan rabaa inaan dalxiis u aado sacuudiga.
Suaal,Ma kugu filan tahay inta aan ku siiyay in sacuudiga dalxiis aad ugu aado?
Jawaab,Maya iguma filna ee lacag kale ayaan haystaa oon ku darsan doonaa.
Suaal,Saxiib waqtiyada aad firaqada hayso maxad ku baashaasha?
Jawaab,Waxaan daawada musalsalada.
Suaal,Saxiib ma jeceshahay markaad daawanayso musalsalka inaad wax ku dul cunto?
Jawaab,Haa waan jeclahay ilaa xad.
Suaal,Nooce jeceshahyna in aad ku dul cunto ?
Jawaab,Waxan jeclahay inaan ku dul cuno salool ka.
Suaal,Wax cabitaana ma isticmashid miyaa saaxib?
Jawaab,"Haa, waan isticmaala isagana."
Suaal,"Hagaag, nooce ayaad  jeceshay cabitaan xilligaa aad wax daawanayso ?"
Jawaab,Waxan jeclahay cabitaanada fudud.
Suaal,Xiliga aad firaaqa tahay turub ma ciyaartaa?
Jawaab,Haa waan ciyaaraa weliba xiliga fasaxyada.
Suaal,Laacib maku tahay turub ciyaaristiisa?
Jawaab,Haa la iga ma badiyo inta badan.
Suaal,Saxiib maxaa kale ayaad  jeceshahay inaad qabato xiliga firaqada?
Jawaab,Waxaan jecalahay inaa dheelo ciyaarta chess.
Suaal,Cajaa'ib! oo miyaad taqanaana ciyaarta chess?
Jawaab,"Haa saaxiib, waa aqaana si fiican."
Suaal,Xilima ayaad baratayna saxiib?
Jawaab,Waxaan bartay mudo laga joogo afar sano.
Suaal,"Hagaag,online miyaad ku dheeshana mise waxa haysata agabkeedi?"
Jawaab,Online na waa ku dheela lakiin inta badan waxan ku dheela agabkeeda .
Suaal,Agabkeeda yaa kugu la dheelo asxaabta mise walaalahaa?
Jawaab,Labaduba waa igula dheelaan.
Suaal,Ma jeclaan lahaydna in aad ka qayb qaadato tartamada caalamka ee lagu dheelo  chess ta?
Jawaab,"Haa, hadaan helo fursad ii ogolaanayso inaan ka qaby qaato."
Suaal,Saxiib waxan maqlay in aad ku xeel dheertahay xirfada buug qorida  arinkaa sax miya?
Jawaab,"Haa , arinkaas sax waaye ."
Suaal,Saxiib ma jiraa wax buug ah ood kaga faa'ideysatay mihnadadaas?
Jawaab,Maya saxiib wali ma jiro wax buuga oon kaga fa'ideystay.
Suaal,"Hagaag, wax qorshe ah ma kaaga yaalaa  marka?"
Jawaab,Haa waa iga yaalaa insha Allaah.
Suaal,Hooyo macaan ma i siin kartaa lacag aan magaalada ku aado?
Jawaab,Maya anigu lacag ma hayo orod aabahaa waydiiso.
Suaal,Aabe waan ka baqayaa adi ma ii waydiin kartaa hooyo?
Jawaab,Adiga ayuu aabahaa yahay ee waydiiso.
