S,Sidee ku timid maanta goobtaan?
J,"Anigu waxaan ku imid bas(HOOMEEY), adigu maxaad ku timid?"
S,Anigu waxaan ku imid mooto. ee adiga sidee ayuu ahaa Socodkaaga ku Aadan jidka?
J,"alxamdulillaah wuu fiicnaa socodkaygu ilaahayna nabad waa igu keenay, adigana ka waran socodkaaga?"
S,sidoo kale wuu fiicnaa anigana.
J,ka waran aragtidaada ku salaysan farqiga u dhexeeya labada gaadiid ee kala ah bas(HOOMEEY) iyo mooto ?
S,"Aragtidayda ku salaysan labadaas gaadiid waa ilaa iyo dhowr qodob , "
J,"tusaale ahaan gaadiidka baska(HOOMEEY) wuxuu ku fiicanyahay dhanka dhaqaalaha ,"
S,mootadana dhanka xawaaraha iyo waqti dhowrista ayay ku fiicantahay.
J,ma ii sheegi kartaa gaadiidka qaybaha loo qaybiyo?
S,"haa , waxaa loo kala qaybiyaa ilaa iyo saddex qaybood oo kala ah gaadiidka cirka,gaadiidka badda iyo gaadiidka dhulka."
J,"waa mahadsantahay , balse adigu gaadiidkee jeceshahay in aad ku safarto?"
S,waxaan jeclahay in aan ku safro gaadiidka cirka.
J,sabab maxaad u jeceshahay ku safridda gaadiidka cirka?
S,sababtoo ah gaadiidka cirka ayaa ah midka ugu hormarsan haday noqoto xagga waqtiga .
J,waayahay aniga ima waydiinaysid miyaa gaadiidka nooca aan jeclahay in an ku safro.
S,"waan soo waday balse waad iga dagdagtay walaal, ee hadda ila wadaag nooca gaadiid ee aad jeceshahay ku safriddiisa?"
J,waxaan jeclahay in aan ku safro gaadiidka badda.
S,"maxaad ku dooratay ku safridda gaadiidkaas , sow ma ogid nabigeena nabad galyo iyo naxariis korkiisa ha ahaate inuu san waligiis ku safrin gaadiidka badda intuu noolaa. "
J,waa mahadsantahay sidaa umaana ogayn walaal.
S,Ma ii kala sheegi kartaa waxay kala yihiin gaadiidkii hore iyo kan maanta? 
J,"Haa kuwii hore waxaa ka  mid ahaa gaadiidka  geela,fardaha iyo dameeraha,"
S,"kan maantana waxaa ka mida gaadiidka cirka(diyaaradaha),gaadiidka dhulka(baabuurta iyo wixii la mida)iyo gaadiidka badda(doon,markab,laash ama saxiimad)."
J,ma ii sheegi kartaa daliil quraana oo ka hadlaya gaadiidka?
S,haa way jiraan waxaan laakiin anigu kuso koobayaa ilaa iyo saddex aayadood oo quraanka kariimka kusoo aroortay .
J,iisheeg saddexdaas aayadood aan ka faaiidaystee.
S,"aayadda koobaad wuxuu ilaahay ku leeyahay quraankiisa,"
J,"""doomahana wuu idiin sakhiray,si ay amarka alle ugu dhex socoto badda oo aad ugu intifaacdaan wabiyadana wuu idiin layliyay si la idinku waraabiyo idinka, xoolihiinna ,beerihiinna iyo manaafiicdiinna kaleba ."
S,"aayadda labaadna waxay leedahay ""wuxuuna idinkaga yeelay doomaha wax aad badda gaadiidka kaga dhigtaan,barrigana wuxuu gaadiid idinkaga yeelay xoolaha , sida geela ,fardaha,baqlaha iyo dameeraha""."
J,"aayadda sadexaadna waxy leedahay""nimcoolaydaas agabkiina culus waxay idinkugu qaadaysaa dhul fog oo aydan ku gaarteen waxaan ka ahayn dhib iyo mashaqqo daran"""
S,"""waxaa kale la idiin abuuray fardaha baqlaha iyo dameeraha si aad gaadiid uga dhigataan ..""."
J,dhammaan aayadahaan waxay ka hadlayaan gaadiidkii waagii hore la isticmaali jiray in kastoo hadda la hormaray dhanka gaadiidka .
S,waad mahadsantahay wax badan ayaan maanta kaa faaiiday oo dhankaa iyo quraanka kala xiriirta gaadiidka.
J,waad mahadsantahay wax badan ayaan maanta kaa faaiiday oo dhankaa iyo quraanka kala xiriirta gaadiidka.
S,kawaran baarashuudka ma jeceshahay inaad ku safarto?
J,"haa aad iyo aad ayaan u jeclahay ku safridda  barashuudka,Adigana ka waran dhankaaga?"
S,Anigu sida aan u jeclahay mamaleysan kartid waxaa jeclaa ilaa io yaraan tayda.
J,waa hagaag lakinse maraacday mar uun maadama aad jeclayd ilaa yaraantaada ?
S,Haa waxaan raacay bishii lasoo dhaafay baa mar raacay.
J,Siduu ahaa safarkaaga maalintaas bal iiga waran?
S,Wuxuu ahaa safar iyo damaashaad layaab leh waayo waxaan soo arkay wax layaab leh majeclaanlahayd inaan kaaga sheekeeyo.
J,Haa waan xiiseynayaa inaan ogaado waayo aniguba waan jeclahay inaan mar uun raaco insha allah.
S,"Waa hagaag waxan arkay markaan ku duulay dhulka quruxdiisa waayo waxaa ogaan kartaa markaad kor uugu duushid ,"
J,"Sida geedaha noocyadooda kala duuwan , beeraha quruxda badan , xaaywaanada noocyadooda kala duwan sida dameer farowga , "
S,"Libaaxyada labkooda iyo dhaddigooda , maroodiga iyo wax kaloo badan oo aan hada quruxdooda kashekayn karin."
J,Kawaran adiga gormee kuu qorsheysan  inaad ku safarto Baarashuudka?
S,"aniga hadda xilli iima qoondaysna , balse waan rajayn doonaa waqti uun insha allaah."
J,Haye walaal khayr baan kuu rajaynayaa.
S,Haye anigana sidoo kale nabad galyo.
J,niyoow ii waran baryahan waa kala baadnaye?
