B,Sidee tahay walaal?
T,"Waan fiicanahay, dhankaaga iiga warran?"
B,"Waan wacanahay,  magacaaga iisheeg?"
T,"Magacaygu waa cali , gobolkee ka timid?"
B,Waxaan ka imid gobalka ugu weyn wadanka.
T,"Hagaag, oo waa kuma gobolka ugu weyn gayigeena?"
B,Waa layaab oo adigu ma reer banaadir baa tahay.
T,Haa saaxiib.
B,Saaxiib gobollada wadanka makala taqaanid miyaa?
T,"Dabcan saaxiib, ee gobolka magaciisa iisheeg?"
B,Gobolka ugu weyn waddanka waa gobolka Bari horay ma u maqashay\.
T,Maya afkaaga iigu horraysa. waa cilmi cusub aan kaa faaiiday.
B,Wax badan waan kala faa'idi dooonaa sow maahan saaxib?
T,"Haa,adigu xamar degmadee ka dagan tahay?"
B,Waxaan daganahay degmada wadajir adna saaxiib?
T,Anna waxaan daganaahy degmada hodan.
B,Waxaan jeclaan lahaa inaan si qoto dheer kuu barto macquul matrahay?
T,Waa war farxad leh soodhawoow waxaan ahay arday jaamacadeed aniggu adna bal iiwaran?
B,Anna waxaan ahay arday dhigta heerka sare ee dugsiga.
T,Waan ku faraxsanahy in aan labadeenuba nahay ehel waxbarasho.
B,"Hagaag,waan jeclaan lahaa in anan wax kaa weydiiyo waxbarashada jaamacadu waxay uga duwan tahay tan dugsiyga?"
T,"Wax badan kuma kala duwana oo labaduba waa goobo aqoon kororsi, si gooni ah maxaan kuugu faahfaahiyaa?"
B,Bal waxaad waxyar iiga taabataa sida duruusta uga baxdo?
T,Haa waxaa jira farqi kala duwanaansho oo kooban.
B,Ila wadaag.
T,Duruusta qaab soojeedin ah ayey ubaxaan badankood.
B,"Mahadsanid, xaasle miyaa tahay mise?"
T,Haa xaasle ayaan ahay.
B,Caruur intee kuu joogta?
T,Shan carruura ayaa ii joogta.
B,Gabdho intee kujirta?
T,"Labo ayaa gabdho ah, ee adiga qoyskiina ma adaa u weyn?"
B,"Maya aniga saddex baa iga weyn, xamar goormaad timid?"
T,Waxaan imid sanadkii 2020.
B,Bari iiga waran waasee nolosheeda?
T,Maxuma.
B,Waxaan maqlay kulayle inay tahay maxaa ka jira?
T,Waqtiga xagaaga waa kulayl balse sida kale waa iska dhexdhexaad.
B,Bad weynta hindiya ayaa marta sow maahan gobolka bari?
T,Maya.
B,Baddacas baa marta miyaa?
T,"Dabcan, labadeenuba reer xeebeed baan isla nahay."
B,"Haa , dabaasha mataqaan?"
T,Maya iskuma fiicnin.
B,Hadaan dabaal kuu kaxeeyo kawaran?
T,Ma idili rabtaa saaxiib?
B,Mayee inaan kubaro baan rabaa.
T,Carrurnimadaydii baan soo seegay cimrigaan barasho magali karo.
B,Hadda hawshaas kuma magali karo miyaa leedahay.
T,"Haa,geelu laba jir sow wada mar hada waqtigaagii baa kujirta."
B,Waa igu fogaatay saaxiib.
T,Maya intaas waa kaftan un.
B,Goormee kuugu danbaysay inaad waddanka ka baxdo?
T,Waxaa iigu horraysay laba sana ka hor
B,Waddankuu ahaa waddankaas?
T,Wuxuu ahaa waddanka Suuriya
B,Kawaran waxyaabihii xiisaha lahaa ee aad halkaas kusoo aragtay?
T,Waxaa oogu xiisa badnaa qaabka ay u dhisanyihiin dhismayaasha qadiimiga ah iyo goobaha taariikhiga ah ee halkaas kuyaalo
B,Hadda ma jeceshahay inaad markale u dalxiis tagto waddamada kale ee adduunka?
T,"Haa, markii aan helo fursad macquul ah ayaan aadi doonaa."
B,Ma jiraa waddan aad jeclaan laheed inaad aaddo mustaqbalka?
T,"Haa, waxaan niyadda ku hayaa inaad aado waddanka Maraykanka."
B,Maxaad u dooratay inaad halkaas aaddo?
T,"Waa meel aad u hormartay, gooba qurux badanna ay ku yaallaan."
B,Wax kaloo aad ku doorbidayso ma jiraan?
T,"Haa, qodobka ugu wayn ee aan halkaas u aadayo waa inuu leeyahay fursado shaqo oo badan."
B,Maxaad jeclaan laheed inaad noqoto mustaqbalka haddii aad halkaas fursad shaqo ka hesho?
T,Waxaa noqon lahaa Injineer heersare ah.
B,Fursaddaas waddankeenna kama heli kartid miyaaa?
T,Waan ka heli karaa laakiin dakhliga iga soo galaya aad buu koobanyahay.
B,Suurtagal miyaa inaad tahriib ku tagto waddankaas Maraykanka?
T,"Maya, marabo inaad hadda tahriib galo"
B,Maxaad ku diidaysaa Inaad tahriibto?
T,"Tahriibka wuu qatar badanyahay, waxaana laga yaabaa inaad ku dhimato inta aad ku jirto safarkaas."
B,Horay ma u maqashay tahriibka inuu halis yahay?
T,"Haa waan maqlay inuu halis yahay, adiga figrad noocee ah ayaad ka aaminsantahay tahriibka?"
B,"Waxaan ka aaminsanahay inuu fiicanyahay, qofkii fursad u helana uu jidkaas qabto."
T,Halistiisa waa badan tahay lama socotid miyaa?
B,Waala socdaa balse nasiibkayga ayaan tijaabinyaa.
T,Mashaqaysaa hadda maxaadse ka shaqaysaa?
B,"waa shaqeeyaa, waxaana ka shaqeeyaa dhismaha."
T,Dhise maa tahay mise ?
B,Maya waxaan ahay injineer.
T,Heerka dhismaha wadanka war igasii?
B,Wadanka dhismahiisa kobac baa kusocda.
T,Fursad fiican bay kuutahay adiga in wadanka dhismahiisu hormaro?
B,Haa aniga iyo bilicda wadankaba faa'ido baa ugu jirta.
T,Haasaawaha sidee isku tihiin?
B,Waa isku fiicanahay inkastoo la iiga roonyahay.
T,Goormaa kuugu dambaysay inaad gabar la sheekaysato?
B,saddex sana kahor baa iigu danbaysay.
T,Maxaad iskaga daysay oo aad xariir u samayn wayday muddadaas?
B,"Sababo badan ayaan iskaga dhaafay, waxaana kamid ah mashquulka iyo inaan jaanis waaayay."
T,Maxaad ku mashquulsaneed muddada intaas la'eg?
B,Howlaha adduunyada ayaan ku mashquulay laakiin waan usoo jeesan doonaa.
T,Goormay kuu qorshaysantahay inaad dib oogu laabato haasaawaha?
B,Markay macquul noqoto ayaan ku laaban doonaa hadduu alle idmo.
T,Haddii aad gabar xulan laheed maxaad ku dooran lahayd?
B,"Waxaan ku dooran lahaa inay tahay gabar diin leh, dabeecad leh oo dhaqan wanaagsan."
T,"Waa saddex qodob oo muhiim ah, aniga xataa waan kugu raacsanahay."
B,Waligaa maamulka iyo hoggaaminta maka qaybgashay?
T,"Haa, marar badan ayaan ka qayb galay oo wax soo maamulay."
B,Maxaa kamid ah waxyaabihii aad soo qabatay?
T,Waxaan hogaan u ahaa ururada bulshada iyo hormarinta arrimaha bulshada.
B,Shaqa fiican ayaad sooqabatay. Maxaad kala kulantay intaad ku jirtay howshaas?
T,"Howshaas waxay eheed mid aan jawi dagan ku dareemo, bulshadana waxtar u leh."
B,Wax caqabada ah makala kulantay markii kuugu horraysay?
T,"Haa, caqabada badan way jireen."
B,Maxaa kamid ah caqabadahaas aad la kulantay intii aad hoggaanka u ahayd urarkaas?
T,Waxaa caqabad igu eheed inaan laqabsado bulshada kala duwan ee ururkaas qaybta ka eheed iyo deegaanka oo aan ugub ku ahaa.
B,Muddo intee la'eg ayay kugu qaadatay inaad lajaanqaaddo deegaankaas iyo bulshada ku dhaqneyd?
T,Waxay igu qaadatay dhowr isbuuc si aan oola qabsado deegaankaas.
