B,Saaxiib ma shaqaysaa ?
T,"Haa , saaxiib."
B,Maxaa ka shaqeesaa ?
T,Carwo ayaan ka shaqeeyaa.
B,"Waa gartay , adigana ma shaqeesaa ?"
T,"Dabcan , saaxiib sidoo kale ."
B,Intee ka shaqeesaa ?
T,Waxbarashada ayaan ka shaqeeyaa .
B,Maxaad ka qabataa markas?
T,Macalin iskuul ayaan ahay.
B,Meeqo maado ayaad dhigtaa?
T,"2 maado,saaxiib."
B,Shaqadaada maku faraxsantahayna saaxiib ?
T,"Aad iyo aad , walaal."
B,Magaaladaan shaqooyinkee ugu wanaagsan ?
T,Shaqooyinka xorriyadda leh !
B,Oo sidee saaxiib?
T,Shaqooyinka aanan waqtiga laguu xisaabinaynin .
B,Si fiican iigu faahfaahi shaqooyinkaas ?
T,"Sida macalinimada iskuulka , shaqooyinka aad adiga xorriyad u leedahay camal."
B,"Waa fahmay saaxiib , dhaqaalo fiican ma leedahay shaqadaada?"
T,"Si fiican saaxiib , waliba dhaqaalo buuran "
B,Saaxiib meeqo saac ayaad isbuucii shaqada gashaa ?
T,Inta maado aan isbuucaas leeyahay oo xiisado ah ayaan galaa saaxiib .
B,Iskuulkaad ka shaqaysid magacii saaxiib ?
T,Waxaa la dhahaa Dhagaxtuur.
B,Adigana shaqadaada maku qanacsantahay ?
T,Si wanaagsan ayaanba ugu qanacsnahay saaxiib .
B,Dhaqaalo ahaan ka waran shaqadaada ?
T,Saaxiib dhaqaalo fiican ayaad ka heleysaa.
B,"Shirkadaha ganacsi , shirkadee ugu wanaagsan in loo shaqeeyo ?"
T,"Waxaa ugu fiican sida hormuud , somtel , salaam somali bank."
B,Sababta ay suuqa shaqada ugu fiican yihiin maxaa waaye ?
T,Shirkadahaan ganacsigooda qof walbo ayaa ku taamaya oo hiigsanaya .
B,sababtee ayay suuqa saamayn ugu yeesheen?
T,Sababtoo ah waa shirkado wanaagsan oo xirfadaada kugu shaqaaleysiinaya .
B,Saaxiib shaqooyinka tiknooloojiyada ka waran?
T,Waa shaqo aad u fiican hadii aad tiknooloojiyada shaqo quseyso hesho .
B,Dhaqaalo ahaan shaqooyinka kale iyo shaqadaan yaa fiican?
T,Waxaad aad iyo aad u fiican una dhaqaalo badan shaqada tiknooloojiyada .
B,Saaxiib sidee saasoo dhan ugu dhaqaalo badnaatay shaqadaas ?
T,"Waqtigaan la joogo aduunka wuxuu u guurayaa tiknooloojiyada , sababtaas ayaa ugu wacan ."
B,Shaqooyinkaan sida lagu helo waa sidee saaxiib?
T,"Waxa waaye horta inaad adiga xirfadaha tiknooloojiyada mid ka mid ah lahaato , kadibna aad raadiso shirkadaha soo dhiga shaqooyinkaaga."
B,Maxaa ka mid ah xirfadahaas saaxiib ?
T,"Sida nashqadeeye, muuqaal duube, sawir qaade , iyo kuwo kaloo badan saaxiib."
B,Yaa ugu dhaqaalo badan marka xirfadahaan aad ii sheegtay ?
T,Saaxiib waxaa ugu dhaqaalo badan nashqadeeyaha .
B,Adiga xirfadee baro i dhihi leheed si aan ugu shaqeeyo ?
T,Saaxiib xirfada ugu dhaqaalaha badan oona ah xirfada ugu fiican waan Naqshadeeye.
B,Saaxiib carwada aad ka shaqayso intee ku taalaa?
T,Waxay ku taalaa suuqa bakaaraha .
B,Intee uga sii taalaa suuqa saaxiib?
T,Dhanka daawada ayay ku taalaa.
B,Maxaad ku gadiin carwada saxib?
T,"Saaxiib dharka ragga iyo dumarkaba , caruurtana sidoo kale dadka waawayna waaba shaqadeenaba"
B,Suuqa shaqada iiga waran saaxiib ?
T,Waxay u baahantahay nin xirfad leh oo ka bixi kara shaqaduu u baahanyahay
B,"Saaxiib badanaa dadku waxay dhahaan wadanku shaqo mataalo , warkaas maxaa ka jira ?"
T,Suuqa shaqada aad buu u banaanyahay waliba shaqooyin badan ayaaba shaqaalo u baaahan si ay u shaqeeyaanna waxay u baahanyihiin inay xirfad ay ku shaqaystaan leeyihiin saaxiib.
B,Shaqada suuqa shaqada loogu baahi badanyahay maxaa waaye saaxiib?
T,Malaha Waa shaqada suuqgaynta.
B,Weligaa maka shaqaysay shaqadaan suuqgeynta?
,"Maya, shaqadaydu waa kaliya dhargadidda."
B,Shaqada dhargadida miyey leedahay mushaar fiican?
T,"Haa, waa yeelan kartaa balse dukaanadda ayaa ku kala duwan"
B,"Gartay, ka waran mushaarka shaqada dukanadda bartamaha magaaladda ku yaalo?"
T,Waa meesha ugu fiican ee aad ka shaqayn karto si aad mushaar fiican u hesho.
B,Balse ka waran dukaanadaas in shaqo laga helo?
T,"Runtii ma sahlana, waxaad ka maraysaa dhib badan."
B,"Hagaag, horta ma shaqeysaa Masuul?"
T,"Haa, waan shaqeeyaa masuul."
B,"Shaqadaada maxay tahay, saaxiib?"
T,Waxaan ahay bare ama macalin.
