A,subax wanaagsan,@
B,"Wanaagsan oo wacan , Soo dhawoow",
A,"Waan dhawahay Walaal, inaan isku lood nahay ayaan rajaynayaa?",
B,"Waa laga yaabaa, ma ii sheegi kartaa heerkaaga waxbarsho ?",
A,"Haa , si wacan waxaa ahay arday ah heer jaamacadeed  , adigana ?",
B,"Hagaag , isku lood ayaan nahay",
A,barasho wanaagsan magacaygu Cadnaan,
B,"mid lamid ah , anigane Cabdulahi",
A,Sanadkee dhamaysay iskuulka?,
B,sanadkii lasoo dhaafay adigana?,
A,labo sano kahor ayaan ka qalin badashay balse caqabado maaliyadeed ayaa dib ii dhigay mudadaas,
B,waan ka xumahay way dhacdaa saaxiib adigana uguma horaysid oo dhalinyarada badankood waa sidaa,
A,"haa , balse waa in aadan niyad jabin oo yoolkaagu cadyahay markasta",
B,waad haleeshay waa wadada kali ah oo looga gudbi karo,
A,iskuulka ma gobol ayaad ku idlaysatay mise xamar,
B,gobol ayaan kusoo dhamaystay adigana,
A,aniga halkaan ayaan ayaa ku dhamaystay,
B,sida badan caasimad waxaa laga helaa iskuulo dawladeed ma kuwaas ayaad dhigan jirtay,
A,"maya, waxaan dhigan jiray iskuul si gaara loo leeyahay",
B,aniga sidoo kale ayuu ahaa,
A,ina keen aan saldhignee,
B,waayahay,
A,"halkaas ayaa banaan, basle meesha ayaaba ashqaraar ah",
B,iyadaba inaggee saaxiib,
A,shaah iyo cabitaan midkee kuu dalba saaxiib,
B,aniga shaaha saaxiib,
A,oo maxaad ku dooratay saaxiib waa barqo kaliil ehe,
B,soomaalidii ka maahmaahday soo tii ay tiri Rag waa shaah dumarna waa sheeko,
A,annaka reer xamar ahaan wixii qaboow lee jecelnahay,
B,"oo waxaan ku waydiiyay, jaamacada aad baad u kala taqaanaaye ma horay ayaad u timid",
A,"haa, oo xaruntaan ayaanba iska diiwaan galiyay adigana",
B,waxaan iska diiwaan galiyay xarunta dhexe,
A,kulliyadaan doorashadeeda maxaa kugu dhiiragaliyay adiga ahaan,
B,maadaama aan waqti banaanka ku qaatay waxaan u arkayay waxay iila muuqatay inaan ka maarmi doono shaqaalenimo,
A,oo meel dheer ayaad ka fiirinaysaaba,
B,"haa, waan sahmiyay indoora, adigana",
A,"aniga xilligii iskuulka ayaan maadada tiknoolajiyada aad u jeclaa, midaa ayaa igu dhiirigalisay",
B,xilligaygii iskuulka maadooyinka oo idil way ii sinaayeen dhankayga oo ma aysan jirin doorasho gaara,
A,"haa, ardaydayda fasalka hogaamisa ayaad ahayd malaha",
B,"waad haleeshay,",
A,magaalada yaad la nooshahay ?,
B,asxaab aan gobolka iskala nimid ,
A,oo halkeed dagan tihiin marka,
B,geedjacayl,
A,waa iskaabulo iyo xaalkeed sida aan filayo,
B,"waa sidaas, dhawaangal baan nahay dhamaanteen guur naguma soo dhawaan",
A,"waa sax, laakiin waxaan islahaa marhore ayuuba guursaday",
B,muuqaalku yuu ku sirin habeedii gobol ayaanan wali ka dhogor-dhacsan,
A,"haa, biyihii xamar ayaan wali ku gaarin ayaan dhahnaa anagu",
B,"bal iiwaran dhankaaga, ",
A,"aniga qoyska ayaan la noolahay , oo markii hore ba halkaan ayaan degananyn",
B,"masha allah, sideena oo kale dool maahid",
A,"dool sidee ahneh,",
B,dool waxaa la yiraahdaa qofka iska socda ama lusan si sahlan,
A,"haa waa ku fahmay, inkastoo af-somaali adag igula hadashay",
B,anaga dhankeena caadi ayay ka yihiin erayadaas,
A,dhinaceygana way ka jirtaa oo dhul badan ma marin meeshii aan ku dhashay ayaan wali joogaa,
B,sooma aadan maqal nin dhul marine dhaayo maleh,
A,waan maqlay laakiin xaaladah wadanka ayaa iska adag oo iima suura galin,
B,"waa laga bixi , balse ku darso oo ragga socodku waa udoor haduu mawdku daayo",
A,war bal iga tartiibi hadalkaagii oo dhan ayaaba murti isku badalay,
B,"gartay, oo waxaan kuwaydiiyay sanad dugsiyeedka jaamacadu muxuu uga duwan yahay midkii aan kusoo aragnay iskuula",
A,"sida aan xog ku helay, malahan imtixaanadii is daba jooga aha",
B,"kuwaas ayaaba idhibay alxamdulilaah, oo markaas hal imtixaan ayaa la galayaa miyaa",
A,"maya, waa labo imtixaan lixdii biloodba mar ",
B,waxay u muuqataa sanadkii oo dhan afar imtixaan,
A,"haa waa sidaas, balse layliyo, cilmibaarsyo iyo shaqooyin kaloo badan ayaan jiri doona",
B,"sida muuqata wax badan kama duwana , magacyadii unbaa kala duwan",
A,"haa, oo jaamacada ayaaba ka shaqo badan iskuulka",
B,"haa , meeshaan adiga ayaa masuul iska ah oo ay tahay inaad naftaada xisaabiso",
A,"waa runtaa, waa meeshaa is dhigtid",
B,kumbiyuutar ayaa la iska rabaa soo maahan,
A,"haa , laakiin maalmaha hore waa caadi",
B,maya laakiin waa in lagu sii tale galo,
A,horay ma usoo baratayne,
B,maya hadda ayaan bilaabi doona,
A,banaanka lacag kale haku bixin maado aan qaadan doono ayay jaamacadu nagu bari doontaa isticmaalkiisa,
B,"waab arin fiican, lacag ayaad ii badbaadisay maanta",
A,waa isku leenahay saaxiib,
B,waa faaiidaydii koowaad ee is barashadeena,
A,wax intas ka badane waan kala faaiidi doonaa,
B,"ma aragtay jadwalkeena, meeqa maado ayaa noo qoran",
A,lix ayaa noo qoran,
B,maalinkasta ma wada arkaynaa lixdaba ,
A,"wali lama watiyayn laakiin , maalinkii labo inaan aragno waa macqull",
B,fasalkeenu ma sidaas ayuu usii badnaan doonaa,
A,"maya , shalay ayay noo sheegeen in asbuuca soo socda la kala saari doono",
B,armaan ku kala hayaannaa meesha ,
A,inta badan dadka liiska qaybta danbe uga jira ayaa la bixiyaa sida aan iskuulka ku arki jirnay,
B,haa waa runtaa,
A,lambarkee tahay liiska,
B,soddon iyo lixaad ayaan ahay adigana,
A,soddon iyo koowaad ayaan ahay,
B,oo waan isku muuqanaaye,
A,"haa, sida muuqata isku fasal ayaan sii ahaan doonaa",
B,meelna ku kala hari mayno ,
A,waa la gaaray xiisadii ee ina keen,
B,lacagtii miyaad siisay mase?,
A,"maya hadaan siinayaa, waan la sii maraynaa",
B,maantay anigaa bixanayee iskadaa,
A,"waa niyaystay, ee berri ayaad bixin doontaa iska daa ",
B,waa yahay,
A,macalinkii wali sooma galin ,
,waa kaas soosocda ,
,xiisadan maadadee inoogu qoran,
,tarabiyada islaamka inay tahay ayaan rajaynayaa,
,waxaan malaynayay in maadooyinkii iskuulku naga hari doonaan,
,maya  way nala socon doonaan intii mudo ah,
,mudo intee la eg,
,sida aan xuuraamiyay waa ilaa dhamaadka sanad dugsiyeedka koowaad ee jaamacada,
,sanadka koowaad jaamacad kasta miyaa sidaas ah mise waa tan oo kaliya,
,inta badan waa isku mid,
,soo kuuma muuqato in uusan jirin isbadal wayn oo u dhaxeeya waxbarashadii aan ka nimid iyo midaan ,
,waxay ila tahay in isbadalka aan gadaal ka arki doono aan ka dhursugno,
,sida igu maqaalo ah majiro isbadal buuran kaliya waa intii aan soo dhiganay oo si un loo hormariyay ,
,"haa, oo majiro cilmi qasaaro ah, waa in intii hore wax lagu daro",
,ilama ahan inaan inaan go`aan tuurta u saarno ee sida aad tiri aan ka war sugno,
,kursigee ayaad fariisataa,
,qaybta hore ee fasalka kursiga koowaad,
,anigu saakay ayaan soo daahay waana haleeli waayay qaybta hore,
,waxaa jira kursi agtayda ka banaan oo laga tagay waad soo fariisan kartaa,
,hagaag aan qaato buugayga ,
,kawaran isbadalka qaybta hore iyo qaybtii danbe oo aad kasoo guurtay,
,"waa is badal aan la qiyaasi karin , halkaan si dhamaystiran ayaan loo arkaa casharka sawaxankuna wuu yaryahay",
,oo waxaan kuwaydiiyay imtixaanada iyo layliyadu makala mala mid yihiin kuwii iskuulka adayg ahaan ,
,"mar hadii aan kasoo gudubnay ma umalaynayo, balse waxaan qiimayn doonaa kuwa ugu horeeya ee innagu soo wajahan ",
,xilligee ayay ku aadan yihiin,
,waxay ila tahay in aad ka maqnayd asbuucii wacyi galinta ,
,"haa, waan maqnaa oo arimo ayaa i haystay",
,sida maalinkaas naloo sheegay waxaa la galayaa kuwa ugu horeeya bisha koowaad ee sanadka cusub,
,balse layliyadu way ka duwan yihiin soo maahan  ,
,haa maalinkasta ayay noqon karaan,
,wayna ka duwanaan karaan soo maahan,
,"haa, oo waxaa jira kuwo waajib ah oo la iska rabo dhamaadka kal-xilliyeed kasta",
,oo ma waxaa jira kal-xilliyeedyo kala duwan inta lagu guda jiro sanad dugsiyeedkasta,
,"haa, sanad dugsiyeedkasta wuxuu ka kooban yahay labo kal-xilliyeed oo isku sidkan",
,oo sidee imtixaanadu ugu kala qaybsamayaan,
,kal-xilliyeedkasta wuxuu leeyahay labo imtixaan oo kala duwan,
,oo maxay kala yihiin imtixaanadaas,
,waxay kala yihiin mid dhexe iyo midka ugu danbeeya oo uu kusoo xirmayo ,
,ma waxaa jira wax ay ku kala duwan yihiin oo midkastaa gaar u ah,
,"haa, waxa ay ku kala duwanaan doonaan xilliga la galayo midkasta iyo dhibcaha ama darajooyinka lagu saxayo markaas ",
,goormee ayay noo dhamanayaan xiisaduhu maantay,
,waxay ku egyihiin kowda duhurnimo,
,ma waxaa jira waqti kala duwan maalmaha jaamacadda,
,haa maalinka axadda ah waxaa soo gali doonaa lixda subaxnimo ,
,waxay ila tahay waa xilli aad u adag xagga soo bixidda,
,"haa, markii loo eego qabowga maalmahan jira",
,xaafada ma waxaad u raacdaa caasi ,
,maya waxaan u raacaa bajaaj,
,,
,,
A,Galab wanaagsan saaxiib ,
B,"Mid lamid ah , soo dhawoow",
A,Saaxiibow waa ku cusbahay iskoolkee ma ii sheegi kartaa fasalka 5aad meesha uu ku yaal,
B,"haa saaxiib , wuxuu ku xigaa xafiiska waxbarashada ee halkaas kasoo jeeda ",
A,waa mahadsan tahay saaxiib ,
B,"adigaa mudan ,soo dhawoow saaxiib .",
A,Ahmed maanta imtixaanka ka waran sidee ayuu ahaa ?,
B,"War wuxu aad ayuu u adkaa runtii , hal maaddo oo aan ku raaxeystey su'aalaheeda ma jirin",
A,"Aad ayaa uga xumahay saaxiib , aniga waxaa kaliya ee xoogaa igu adkaaday maaddada xisaabta ",
B,"Taas waxaa ka cabsanayaa inaan 10% dhaafi waayo , kolley waa dhacayaaye",
A,hee saaxiibow maxaa kaaga dhacay maaddadaas waaba xiiseyn jirtaye ?,
B,"War ninyahow maaddada waxaa i nacsiiyey waa macalinka cusub , macalinkii hore aad ayaan u fahmi jirey xiisaddiisa laakiin kan hadda noo dhiga waxba kama fahmo",
A,Saaxiib maaddadaas waa muhiim ee maxaa meelo kale uga baran weydey haddii aad ka fahmi weyday macalinkaan ?,
B,Saaxiib waa jeclaa laakiin xoogaa iima dhawa meel lagu barto xisaabta oo aan aaddi karo,
A,"saaxiib anigaa aqaan meel sifeecan lagaaga dhisaayo qiima yarna lagu barto , ma imaan kartaa ?",
B,"haa saaxiib waa imaan karaa , xagee ku taal ?",
A,"waxay u dhow dahay xaafaddeena , kasoo horjeedka hoteel aaran",
