B,sheygaan waa imisa walaal ?,,,,,,
T,waa laba doollar masuul.,,,,,,
B,salaamu calykum  alaabtan jumla ahaan miyaad  ugadaan misa tafaariiq?,,,,,,
T,wacalaykumassalaam  waxaan ugadnaa jumlo ahaan. ,,,,,,
B,mataqaanaa goob lagu iibiyo agabka cuntada ?,,,,,,
T,haa waxaa lagu gadaa suuqa bakaaraha kasoo horjeedka shirkadda hormuud .,,,,,,
B,walaal waxaan doonayaa in aad tala iga siiso goobta lagu gado dharka kuwa ugu tayada sareeya?,,,,,,
T,dharka  noocee baad ulajeedaa ma kuwa dumarka misa kuwa ragga misa kuwa caruurta?,,,,,,
B,waxaan doonayaa kuwa caruurta iyo kuwa dumarka ,,,,,,
T,kuwa dumarka xog kamahayo balse kuwa caruurta waxaa ugu taya sareeya shirkadda geedi.,,,,,,
B,Waa meeqa Badeecadu ?,,,,,,
T,Badeecadu waa qaali runtii.,,,,,,
B,Suuqu halkan makadhow yahay ?,,,,,,
T,"dabcan, suuqu waa kasoo horjeedka isbitaalka.",,,,,,
B,dalabaadka suuqu waa sidee ?,,,,,,
T,suuqa dalabaadkiisa waa mid caadi ah.,,,,,,
B,shirkaddaadu maleedahay qayb suuqgayn ah?,,,,,,
T,"haa, shirkaddu waxay kutaal caasimadda soomaaliya.",,,,,,
B,waa sidee iibsigu sanadkaan ?,,,,,,
T,aad buu uhooseeya sicir barar jira awgeed.,,,,,,
B,waxaan doonayaa in aan bilaawo ganacsi ii gaar ah  maxaad tala iga siin lahayd ?,,,,,,
T,waa arin wanaagsan waxaan kugula talinayaa in aad suuqa iska fiiriso inta aadan bilaabin ganacsigaaga,,,,,,
B,saaxiib waxaan doonayaa in aad iiraacdo suuqa bakaaraha ?,,,,,,
T,oo maxaad kadoonysaa suuqa ?,,,,,,
B,waxaan kadoonyaa in aan soo iibsado shaar iyo surwaal .,,,,,,
T,haye  waan israacynaa inshaa allaah.,,,,,,
B,maanta wixii suuqa kadhacay war makahysaa ?,,,,,,
T,maya ee maxaa ka dhacy ?,,,,,,
B,waxaa dab ka kacay suuqa  qaybta maacuunta nasiib wanaag  waa ladamiyay dabkii,,,,,,
T,haa mahd allay usugnaatay   .,,,,,,
B,tukaankan yaa jooga ?,,,,,,
T,anigaa jooga maxaad ubaahntahay,,,,,,
B,waxaan doonayaa laba kiilo oo sokor ah iyo hal kiil oo burah.,,,,,,
T,waa diyaar walaal wax yar iisug,,,,,,
B,saakay miyaad ukallahaysaa suuqa ?,,,,,,
T,Haa waan ukallahayaa  ,,,,,,
B,meeqa saac ayaad aadaysaa suuqa ?,,,,,,
T,waxaan aaadayaa hal saac subaxnimo ?,,,,,,
B,waxaan kaa doonayaa in aad iisoo iibiso kabo   ee  masoo mari kartaa ?,,,,,,
T,Haa waan soo mari karaa ,,,,,,
B,waryee maanta  maxaad kusoo habsaamtay ?,,,,,,
T,waxaan kusoo habsaamay suuqa ,,,,,,
B,adiga xagee baad usoctaa xiligan ?,,,,,,
T,waxaan usocdaa  suuqa ,,,,,,
B,ma adiga uun baa misa dadkale ayaad israacaysaan ?,,,,,,
